age,gender,parent_education,family_income,degree_of_hearing_loss,age_of_onset,assistive_device,sign_language_proficiency,lip_reading_skill,attendance_rate,study_hours,previous_gpa,math_score,science_score,language_score,teacher_support,peer_support,learning_resources,motivation_level,stress_level,performance_class
16,1,1,2,2,3,1,5,3,75,1,7.28,48,41,82,2,1,4,3,3,A
15,0,0,2,1,1,0,4,5,88,3,7.29,40,58,81,5,2,4,3,4,B
20,0,0,4,1,2,1,4,4,91,5,5.08,43,68,99,3,4,3,2,3,C
21,0,2,2,2,3,1,5,3,78,3,5.87,97,79,94,4,4,5,5,2,B
21,1,1,4,3,3,1,5,4,94,1,7.44,46,94,52,5,1,4,2,2,B
18,1,0,3,3,9,1,1,5,91,4,9.11,50,91,46,5,4,5,2,1,B
17,1,1,3,3,8,0,1,3,79,1,6.39,53,43,49,1,5,5,1,4,C
15,1,3,2,2,9,0,3,4,99,1,7.61,81,96,67,2,3,2,5,4,A
20,1,1,2,1,5,1,3,5,79,5,6.72,58,55,43,5,4,4,1,2,B
16,1,2,2,2,8,0,3,2,67,2,5.52,79,86,98,3,4,4,1,1,A
20,0,0,4,3,3,1,2,2,94,1,9.79,42,76,71,4,5,1,1,2,C
15,0,3,3,1,8,0,4,1,72,5,9.27,47,66,61,1,2,5,4,4,A
15,0,0,3,2,8,0,2,2,65,4,5.39,68,44,59,3,2,3,3,3,B
15,0,3,1,2,5,1,5,4,75,5,8.6,89,54,87,4,5,2,3,4,B
18,0,1,1,3,4,1,1,2,64,5,6.74,76,62,59,2,2,1,4,1,C
19,0,1,2,2,2,0,5,3,93,3,9.97,91,88,45,3,1,2,2,4,A
17,0,2,4,1,4,1,5,3,65,2,6.51,82,42,48,4,5,3,5,5,B
18,0,2,2,3,2,0,1,3,92,2,6.19,48,57,67,1,3,1,5,4,A
18,1,3,3,3,4,0,5,2,74,4,7.84,58,82,52,4,3,2,5,5,C
19,1,2,2,1,4,0,3,2,74,5,9.18,51,65,70,5,3,3,1,2,B
18,1,2,2,3,1,1,1,1,73,4,5.96,66,45,78,1,4,1,5,5,B
15,1,2,3,2,8,1,5,5,98,4,8.55,76,98,89,3,5,3,5,4,B
15,1,2,3,2,6,0,3,1,64,2,5.31,87,83,53,2,5,1,5,4,B
20,1,1,3,3,5,1,3,4,85,2,9.59,97,93,61,1,2,4,3,4,A
16,1,2,3,1,4,1,4,3,76,2,5.41,64,97,76,1,5,4,4,1,B
18,0,1,1,2,3,0,3,2,75,1,9.57,84,56,93,1,5,2,2,2,C
16,0,1,4,1,7,1,2,5,94,5,7.45,77,85,84,4,2,5,4,5,B
17,1,0,4,2,1,1,1,5,97,4,7.24,87,77,63,5,5,5,5,3,C
21,0,1,3,2,7,0,1,2,82,5,9.87,89,81,47,2,5,3,2,5,A
15,0,1,4,3,0,1,1,1,72,4,9.95,56,87,54,2,1,1,2,4,C
20,0,2,4,3,9,0,5,5,92,4,8.25,83,89,90,5,2,4,4,3,B
17,0,1,4,1,0,1,5,1,88,4,5.64,98,66,80,4,1,5,4,3,B
20,0,3,4,3,2,1,2,2,93,4,7.53,72,59,45,4,4,4,4,5,B
21,1,2,3,2,4,0,3,1,93,3,7.65,78,45,62,5,2,3,4,5,C
21,0,2,2,2,5,0,5,3,86,3,7.57,53,90,64,5,5,3,1,5,C
19,1,2,2,1,3,1,3,2,74,1,7.85,67,74,70,3,5,1,3,5,B
15,1,0,2,1,6,0,3,2,68,2,5.09,57,51,85,4,1,5,3,2,B
17,1,2,1,2,6,0,5,5,85,4,8.56,94,87,68,1,1,3,5,1,A
19,0,1,4,3,1,1,5,5,62,5,8.56,72,42,62,2,4,3,1,1,B
21,1,3,3,3,1,0,2,5,95,3,5.58,91,87,49,4,4,4,2,5,B
17,1,2,3,1,1,1,4,3,64,2,7.85,81,43,48,5,5,2,4,1,B
20,1,2,1,1,1,1,1,3,79,1,7.84,54,96,88,1,3,5,5,5,B
19,1,3,3,2,8,0,5,4,79,2,8.41,50,91,52,3,4,1,2,5,C
19,0,2,2,2,4,1,5,2,64,4,5.43,75,84,71,3,5,1,3,5,C
15,1,0,1,1,7,0,3,5,69,2,8.13,54,43,88,1,4,4,2,2,A
16,1,1,3,2,4,1,4,2,75,4,6.4,92,43,90,1,2,1,4,4,C
20,1,3,1,1,4,0,5,1,84,3,7.54,87,78,84,5,1,3,4,1,A
20,1,3,1,1,0,0,4,3,84,3,8.87,69,60,80,5,5,5,3,1,C
19,0,0,3,3,5,1,1,4,89,4,8.53,97,83,40,2,4,1,4,2,A
19,1,1,2,1,3,0,3,1,73,5,5.59,54,41,40,2,1,5,1,2,C
15,1,0,3,2,2,0,2,2,81,3,7.96,88,55,76,3,3,1,5,5,B
16,1,1,4,3,5,0,1,3,87,5,9.85,62,46,79,1,4,2,3,5,B
20,1,0,4,3,1,1,4,5,89,4,5.78,82,58,57,3,5,2,3,4,B
21,1,2,3,2,7,1,4,1,78,4,9.26,89,82,75,5,2,5,2,1,A
18,1,0,2,2,0,0,1,3,97,3,8.51,99,72,70,4,1,2,3,2,A
18,0,3,4,2,8,0,4,2,79,5,8.87,87,48,93,5,1,2,5,4,B
16,1,3,4,1,7,1,2,2,94,4,6.41,98,76,40,4,2,3,1,1,C
17,0,3,3,3,0,1,2,1,81,3,6.44,54,97,86,1,5,1,2,4,B
15,0,0,3,1,9,1,4,1,74,4,9.53,68,56,91,1,3,2,5,4,A
16,1,3,3,1,8,0,4,1,70,2,6.8,50,66,75,1,2,5,3,5,B
18,0,3,1,1,1,1,2,4,93,2,5.32,84,72,96,2,3,3,4,4,B
19,1,2,1,1,2,0,4,5,83,3,8.0,57,88,48,2,5,2,4,5,B
18,0,2,1,3,1,1,5,3,65,4,5.62,79,51,61,4,4,5,5,1,C
19,1,1,3,3,7,0,3,2,76,3,8.98,70,96,95,3,4,1,1,1,B
15,0,1,2,1,1,1,5,2,87,1,8.21,48,84,67,3,5,2,4,5,A
19,0,1,4,2,9,0,4,5,90,3,9.37,61,95,65,4,3,5,5,3,A
16,1,0,1,3,1,1,4,1,95,3,8.92,50,50,91,2,2,5,2,4,B
19,0,1,2,1,0,1,3,1,68,2,5.56,56,52,49,5,5,4,3,1,B
17,0,0,3,2,6,0,4,2,69,2,6.91,72,70,95,4,5,5,1,4,A
16,0,0,1,2,1,1,3,5,80,4,8.87,50,52,86,3,4,4,1,3,C
15,0,1,3,1,9,1,2,2,93,3,7.09,78,77,42,4,2,1,2,4,B
16,0,1,2,3,4,1,3,1,90,3,9.86,47,65,41,4,4,1,1,3,B
17,1,0,1,2,4,1,3,3,88,4,8.68,90,70,93,1,3,3,5,2,A
15,0,2,1,3,2,0,5,1,70,5,5.08,96,61,76,2,3,4,1,3,C
18,0,3,1,3,2,0,4,3,92,4,9.4,43,45,95,1,1,5,1,1,C
17,1,3,1,2,2,1,2,4,60,2,5.5,75,59,70,2,5,3,1,5,A
15,1,3,2,1,5,0,1,5,80,2,5.7,58,60,72,4,2,3,5,5,C
21,1,2,1,2,3,0,3,4,82,3,8.67,63,49,71,2,2,1,3,4,B
19,0,0,4,2,2,0,1,1,68,2,9.32,80,58,82,3,4,5,4,2,B
16,0,1,4,3,1,0,4,5,60,4,7.68,88,74,51,1,4,4,1,4,C
15,0,0,3,1,2,0,3,1,80,3,6.45,57,65,97,4,2,1,2,3,C
16,0,0,1,3,3,1,1,5,81,4,6.76,72,46,42,3,4,3,2,5,C
19,1,1,4,2,5,0,5,5,63,4,6.71,85,76,94,2,1,2,5,3,C
15,1,2,4,1,3,1,1,1,60,3,6.63,75,47,87,2,5,3,3,5,C
18,0,3,4,1,7,0,5,1,69,5,6.21,49,44,65,3,1,2,1,5,A
21,0,3,2,1,2,1,2,5,74,2,8.04,94,83,53,2,3,1,5,5,B
21,0,0,1,1,2,1,4,5,95,1,9.5,53,75,51,1,2,4,4,1,B
17,0,2,2,1,2,1,1,1,88,1,6.54,46,90,91,5,1,5,3,3,C
15,1,3,2,2,7,0,3,1,64,1,5.93,51,67,65,2,1,2,3,4,B
19,1,2,4,2,3,0,4,2,88,2,9.19,61,89,55,4,4,5,5,2,A
15,0,1,4,2,0,1,1,2,86,5,8.71,66,42,92,2,4,1,2,4,C
16,1,0,3,3,1,1,3,2,84,4,9.65,87,78,47,4,4,1,3,3,C
20,0,0,1,1,9,0,3,4,75,3,5.83,76,47,88,2,3,1,2,2,B
15,0,2,1,1,1,0,3,5,75,5,5.72,50,54,88,2,1,4,3,4,A
21,1,3,4,2,2,1,3,3,95,1,7.71,75,92,67,4,5,2,3,2,A
21,0,2,4,1,5,0,1,4,84,2,8.07,99,66,46,1,4,5,3,3,A
21,1,1,1,3,7,0,2,5,60,2,7.4,52,88,54,5,3,3,4,5,B
18,0,3,3,1,0,0,5,3,64,3,7.99,71,90,99,5,3,1,2,3,C
15,1,3,4,1,8,0,5,2,79,4,5.9,47,75,80,1,4,5,4,1,A
17,0,2,3,3,0,0,5,3,64,5,7.4,46,55,75,2,2,5,2,2,B
15,1,1,2,2,9,0,2,1,95,5,8.29,82,65,47,5,1,4,4,3,B
20,0,3,4,2,1,1,3,1,88,5,7.16,82,84,49,1,4,2,4,5,A
21,0,0,2,1,2,1,3,5,93,4,8.4,97,83,54,1,5,4,4,5,B
16,1,1,4,3,6,1,4,4,77,4,7.26,56,43,94,5,1,4,5,3,C
21,0,3,2,2,8,1,5,2,61,4,6.67,61,51,57,4,3,5,4,4,C
15,1,2,4,2,2,1,5,5,75,3,6.52,85,56,85,3,5,2,3,3,B
18,1,3,3,2,7,1,3,2,88,2,7.05,73,97,76,4,1,2,1,5,C
19,0,0,3,1,8,0,5,1,92,1,5.12,59,80,80,2,5,2,4,3,B
15,0,1,3,3,9,0,3,4,75,4,8.34,92,83,84,4,3,1,1,1,A
15,0,3,2,1,6,1,3,4,94,2,9.23,47,65,96,3,4,2,1,4,A
17,0,0,3,2,3,1,3,1,76,4,6.77,61,70,90,3,5,5,3,3,B
18,1,3,2,3,3,1,1,3,63,1,5.23,66,54,82,1,4,1,1,5,A
20,0,3,4,1,3,0,1,4,63,4,9.93,73,91,83,2,3,3,1,3,A
19,0,1,2,2,5,0,1,3,84,2,6.32,60,73,74,1,3,4,1,3,B
21,0,2,4,2,3,0,1,2,92,3,5.63,54,68,41,4,5,2,2,2,B
16,1,2,1,1,4,0,2,4,73,1,6.85,44,48,94,4,5,3,4,3,A
15,0,0,1,2,8,1,4,1,83,2,8.69,77,53,61,5,3,2,4,1,A
20,1,0,1,2,6,1,4,3,70,5,6.47,56,75,54,1,5,4,1,5,B
19,0,0,2,3,7,1,3,2,84,5,7.87,47,43,76,1,5,5,3,2,B
16,1,1,1,2,4,1,5,2,87,5,7.08,58,98,78,1,5,5,2,3,B
20,0,2,1,1,4,0,1,4,66,3,5.59,44,77,75,1,5,4,3,4,C
18,0,0,1,3,6,0,4,4,95,4,6.65,62,95,44,3,1,3,3,1,A
18,1,0,4,1,7,1,4,5,69,4,8.62,58,76,96,5,3,1,1,1,A
19,0,3,3,2,8,0,1,5,95,4,8.06,53,99,87,2,3,1,5,1,A
21,0,3,2,3,1,0,2,4,90,3,5.6,49,63,54,2,2,2,1,2,A
16,0,0,1,3,2,0,2,5,78,5,5.82,70,56,66,2,4,4,5,3,C
18,1,3,4,3,1,0,4,1,77,4,8.2,52,52,55,3,2,4,2,1,B
19,0,3,3,3,9,1,2,1,65,3,9.07,61,59,96,5,5,1,5,3,B
18,1,3,3,1,6,0,1,5,87,3,6.75,76,56,75,5,5,3,1,4,C
18,1,1,3,2,1,1,4,4,66,2,7.98,78,90,77,3,1,4,1,3,A
20,1,0,4,2,1,0,1,1,97,4,5.85,49,66,57,1,1,5,3,3,A
20,0,0,1,3,1,0,2,2,71,5,6.56,70,94,74,4,1,5,1,3,C
18,1,3,3,2,3,1,1,4,93,1,5.1,82,72,64,1,1,4,1,5,C
17,1,1,4,1,0,1,2,3,84,3,8.84,74,60,61,2,1,3,4,2,B
20,0,3,4,2,1,0,2,3,76,2,7.01,52,56,95,1,1,5,4,3,B
16,1,1,2,1,2,0,1,4,92,1,9.08,69,61,70,3,1,3,3,1,C
19,1,0,4,1,6,1,2,5,82,3,8.54,73,64,98,2,1,1,5,5,A
19,0,3,3,2,9,0,3,1,68,2,9.14,75,42,76,4,1,2,5,3,A
21,0,0,3,1,0,0,1,1,65,4,6.43,74,66,73,2,3,1,4,5,A
16,1,1,4,1,5,1,3,4,61,2,5.93,86,66,62,1,1,2,2,2,B
16,0,2,3,1,2,0,1,2,97,3,9.86,43,85,55,5,4,5,4,5,A
16,0,1,4,1,2,0,2,5,68,4,8.59,94,51,45,5,1,2,2,1,B
21,0,2,3,3,3,0,2,2,62,5,9.17,92,54,98,5,5,2,5,3,C
16,1,0,2,2,3,0,4,4,75,2,5.07,43,77,54,2,5,4,4,1,B
15,1,0,1,3,6,0,4,4,84,1,6.77,86,59,57,5,1,2,1,4,A
21,0,3,2,1,2,1,3,2,83,4,8.71,45,61,77,3,1,4,2,5,B
19,1,2,2,2,7,0,2,3,88,4,5.39,94,41,52,4,5,2,2,5,C
15,0,1,1,1,7,1,4,4,99,5,7.84,67,43,63,5,4,4,2,5,A
21,0,0,3,2,6,1,2,5,85,2,7.15,69,84,52,3,2,5,5,2,A
18,0,2,1,3,1,0,1,2,97,1,5.09,66,52,40,3,3,5,3,1,B
18,0,1,4,2,4,1,4,3,94,5,6.18,44,94,87,2,5,2,1,4,A
19,0,2,1,1,5,0,3,2,82,2,6.42,83,71,75,2,1,3,4,2,C
18,1,1,2,2,9,1,4,3,63,1,5.56,78,98,88,4,3,5,2,2,B
16,1,1,1,2,3,1,2,3,73,1,8.16,74,61,57,4,1,1,5,3,A
21,1,1,3,3,9,1,5,5,98,3,6.21,78,64,87,1,2,1,2,4,C
15,1,1,2,1,4,0,5,4,66,1,6.39,83,66,72,4,2,4,4,5,B
16,0,2,4,2,8,1,2,3,67,2,9.49,54,94,77,2,5,3,1,5,A
18,0,2,3,3,6,1,1,4,78,5,7.34,58,56,82,3,3,4,2,3,A
20,1,3,2,2,1,1,4,5,61,5,6.96,69,45,45,1,3,2,5,5,B
15,1,2,4,1,0,0,5,4,60,3,8.62,77,82,56,4,2,5,5,1,A
16,0,2,3,2,1,0,1,1,97,2,9.55,71,90,43,3,1,3,3,5,A
21,0,3,4,2,2,1,2,3,72,1,5.13,79,55,53,2,5,4,5,1,A
19,0,2,1,2,1,1,1,5,83,3,7.24,68,47,69,5,4,4,3,3,A
16,1,1,1,2,2,1,2,2,91,4,8.05,45,72,85,1,2,1,1,3,B
20,0,0,4,1,9,1,4,5,89,2,6.59,65,49,59,3,2,2,4,1,C
18,0,0,1,3,8,0,1,3,65,3,8.86,66,73,47,2,5,4,3,5,C
15,1,3,4,3,3,0,4,5,97,5,9.86,74,58,93,2,1,1,2,3,B
19,1,2,3,2,8,0,1,2,92,3,9.72,67,53,41,1,3,3,2,3,C
15,1,2,2,1,2,1,2,1,82,4,6.33,44,42,76,1,2,4,4,1,A
19,0,3,4,1,0,0,2,3,69,2,6.13,80,94,43,4,5,1,5,3,A
21,0,0,2,1,4,1,1,3,74,3,9.79,95,95,49,4,5,2,2,5,B
15,1,1,2,1,9,1,2,5,82,1,7.29,87,80,59,1,5,5,3,3,B
18,0,2,4,1,9,1,3,4,95,2,6.04,93,62,99,1,3,3,4,1,B
21,0,3,1,1,1,0,3,4,60,3,8.53,55,79,95,3,2,4,2,5,A
21,0,1,3,2,3,1,4,2,67,3,6.42,80,50,92,4,5,1,5,4,A
19,1,3,2,3,1,0,3,1,62,2,6.34,57,86,74,2,3,4,5,1,B
17,1,3,3,3,1,1,3,1,73,5,9.4,52,45,87,4,1,5,2,4,C
15,0,3,2,2,2,0,5,5,76,1,5.81,82,73,49,4,4,4,4,3,B
15,0,0,4,3,4,1,5,5,93,2,5.32,64,40,67,1,2,4,1,5,A
16,0,0,1,1,3,0,5,4,65,1,6.35,49,74,54,1,3,1,2,3,C
19,0,3,3,1,1,1,5,1,64,1,8.03,68,64,75,4,4,5,5,5,A
20,1,2,2,3,9,0,2,1,99,2,5.62,49,68,40,5,4,3,1,2,A
17,1,1,4,1,1,1,4,1,88,3,7.36,45,62,61,5,3,1,4,3,B
18,0,2,4,1,5,1,4,2,94,5,8.14,55,57,66,4,3,5,5,3,C
16,0,0,2,3,6,1,3,2,77,1,9.24,64,53,68,5,3,5,4,3,C
17,1,1,2,2,9,0,4,5,99,1,6.15,83,56,54,4,5,4,2,1,B
19,0,3,2,3,5,1,3,4,89,3,9.09,43,41,49,1,1,2,4,5,B
17,1,2,1,3,6,1,4,3,74,2,6.17,76,70,59,1,5,2,5,5,B
21,0,2,2,3,0,1,1,4,74,5,8.38,73,58,61,1,4,3,2,5,A
15,1,3,2,3,5,0,1,2,75,1,7.15,58,71,89,2,4,4,5,1,C
21,0,2,1,2,2,1,4,2,92,1,5.57,72,93,87,1,4,2,5,5,B
15,0,0,4,2,0,1,2,5,69,2,8.57,43,67,92,1,3,1,1,3,A
16,1,3,2,1,7,0,3,3,78,3,6.09,83,80,98,4,2,3,3,4,B
19,1,2,3,1,3,1,4,1,96,4,5.88,73,47,48,5,5,4,4,2,B
19,0,3,4,3,9,0,3,3,62,3,6.79,51,81,95,5,2,1,4,5,C
17,0,1,3,1,7,1,5,3,95,1,8.27,70,80,90,1,1,2,1,1,C
16,1,3,2,2,9,0,4,3,63,1,6.17,55,98,71,1,1,2,4,1,A
19,1,2,1,1,3,0,2,5,70,5,5.92,41,98,56,1,5,2,1,5,C
20,0,0,1,1,3,0,5,2,92,3,5.05,88,79,81,4,4,2,4,4,B
20,0,3,1,1,9,1,4,1,87,4,7.36,97,78,58,4,1,5,4,5,A
21,1,3,2,3,3,1,1,3,91,5,7.14,99,61,79,4,2,3,5,1,B
15,1,2,2,1,5,0,4,1,75,4,6.17,41,63,66,5,2,3,1,2,B
17,1,0,3,2,8,1,1,3,68,5,5.27,75,77,90,2,3,2,4,4,A
18,1,0,1,2,4,1,1,2,70,3,7.15,45,41,76,5,4,3,3,5,B
15,1,1,2,2,9,0,4,1,65,1,8.94,99,80,73,4,3,1,1,2,B
16,0,1,4,2,7,0,4,4,86,4,8.58,62,80,86,3,5,1,1,5,A
19,0,2,2,1,7,0,1,2,71,3,9.3,78,58,88,2,1,3,1,4,B
15,1,0,2,3,3,0,3,1,81,4,5.05,94,80,98,1,3,2,5,1,B
18,0,0,4,2,9,1,5,3,99,3,9.83,86,41,49,5,3,4,1,4,A
18,0,1,1,2,8,1,2,3,96,5,6.71,91,67,69,2,5,2,5,3,C
20,1,1,4,3,8,1,4,2,80,3,9.95,83,71,60,3,2,5,3,5,A
16,0,2,1,3,4,1,5,2,92,5,6.26,76,58,60,2,2,4,2,2,A
15,0,0,4,2,5,1,5,3,76,1,7.36,85,55,93,5,5,5,5,2,A
17,0,3,3,2,4,1,3,1,88,5,6.77,55,69,73,4,2,3,4,4,B
15,1,1,1,3,2,0,5,4,99,2,6.78,82,61,48,1,5,5,1,4,B
20,1,2,2,2,7,1,4,5,69,1,9.21,83,53,73,4,2,3,2,4,B
21,0,0,3,2,8,1,5,2,77,3,8.73,58,91,89,4,5,5,5,2,A
18,0,0,1,1,3,1,4,3,72,3,9.96,88,95,51,5,2,4,4,1,C
16,0,1,1,3,8,0,4,1,86,2,8.07,63,40,86,4,3,5,2,2,A
16,0,2,1,1,8,0,1,2,69,3,7.32,97,84,60,4,3,2,3,1,A
17,0,3,4,1,6,1,3,1,91,1,5.45,66,93,96,5,2,3,5,4,A
16,0,1,1,3,7,0,2,2,62,1,9.98,46,41,59,5,5,1,5,3,A
20,1,2,2,1,2,0,1,3,81,5,7.76,69,61,45,3,3,5,3,2,B
20,0,0,1,2,4,1,2,1,86,4,8.5,80,85,89,4,1,3,5,4,A
20,0,3,2,1,2,1,4,3,62,3,7.03,53,72,84,2,2,1,1,2,A
16,1,2,2,3,6,1,1,1,92,2,7.74,97,54,75,1,1,3,5,4,C
16,0,3,2,2,5,0,5,2,61,1,9.71,91,89,51,1,1,3,1,2,A
20,0,2,3,2,2,0,5,5,70,1,5.83,83,80,80,5,4,1,5,5,C
16,0,2,2,2,8,1,2,5,69,1,6.46,54,61,70,5,1,1,4,2,B
16,0,2,4,2,0,0,4,4,98,4,5.76,51,79,41,3,1,4,4,5,B
18,1,2,1,1,9,0,2,4,92,4,8.96,92,78,55,4,4,5,2,1,B
15,0,3,4,1,2,0,3,3,66,3,5.31,92,80,40,5,4,5,4,2,B
19,1,1,3,2,9,1,5,1,74,2,5.41,68,80,43,5,4,3,3,1,A
16,0,3,1,3,6,1,1,4,85,4,6.49,62,50,86,1,5,2,2,3,C
19,0,2,2,2,2,1,1,2,70,5,7.57,52,43,91,4,4,2,4,5,B
21,1,3,1,1,2,1,1,5,97,4,7.03,48,46,40,3,5,3,1,2,C
19,0,3,3,2,1,1,5,1,86,1,5.22,63,60,91,5,2,4,5,1,C
18,1,3,3,1,8,0,4,5,98,2,9.79,78,46,86,5,5,1,4,4,A
16,1,2,4,2,3,0,5,1,66,3,9.76,69,43,74,5,2,3,1,1,A
20,1,3,1,3,9,0,5,4,60,4,6.4,40,51,52,1,4,5,2,2,A
19,0,0,1,2,5,0,1,4,69,1,8.66,99,97,89,5,4,2,5,3,C
16,0,2,1,3,1,0,5,3,80,5,7.89,49,66,84,5,2,2,4,5,C
17,0,3,4,3,8,0,1,1,74,5,6.19,77,98,81,1,3,2,2,4,B
21,0,0,3,2,6,1,4,2,89,3,6.31,97,56,70,5,5,4,4,1,A
20,1,3,2,3,9,1,3,4,89,3,7.46,86,59,59,4,1,5,2,2,A
17,0,1,1,3,4,0,1,3,67,4,7.1,54,70,95,4,4,4,4,2,C
17,0,3,4,1,6,1,2,4,83,3,6.46,48,65,46,1,5,1,1,5,C
19,1,3,4,1,3,0,3,5,78,1,9.04,52,70,96,4,5,3,3,4,A
17,1,1,2,3,9,0,4,4,62,1,7.41,62,74,79,3,4,3,1,1,A
18,0,2,3,2,6,1,3,1,74,1,8.27,72,48,72,5,2,2,5,1,B
18,1,1,1,3,1,1,1,3,95,4,5.95,48,44,67,3,4,2,4,1,A
19,1,2,1,2,6,0,4,1,65,4,7.67,42,91,89,4,5,1,3,5,C
16,1,1,4,1,3,1,2,2,77,3,6.59,69,87,83,1,3,4,3,5,B
15,1,3,3,2,3,0,1,2,97,4,7.63,48,47,89,1,2,5,5,4,B
16,1,3,1,3,0,0,1,4,78,1,8.9,91,60,99,3,4,1,5,1,B
16,0,2,2,3,2,0,4,3,89,2,8.84,64,55,95,4,1,3,3,1,B
16,0,2,3,3,4,0,4,3,72,1,6.77,86,90,83,5,4,3,5,4,A
16,0,0,3,3,4,0,3,3,98,2,8.47,63,55,59,4,5,4,5,4,C
20,0,0,4,3,1,1,2,3,71,3,9.71,71,57,71,4,5,1,4,4,B
15,0,3,4,2,3,0,3,4,93,5,8.13,46,86,48,1,1,5,1,2,B
20,0,3,1,3,0,1,3,1,71,4,5.74,75,95,73,2,2,1,2,4,B
17,0,0,4,1,8,0,1,4,83,4,8.4,64,67,53,5,5,1,3,3,A
21,1,0,3,3,0,1,4,1,63,1,5.52,59,57,43,5,2,4,2,5,A
16,0,2,1,2,5,0,1,5,95,1,9.36,56,53,68,1,2,5,3,4,B
21,0,1,1,3,6,1,2,5,73,2,7.58,93,95,54,4,4,3,3,2,B
18,0,2,3,3,2,0,3,1,76,4,6.93,75,87,56,1,2,2,1,3,B
19,1,0,1,2,0,0,2,4,62,3,5.29,65,76,58,4,5,5,3,2,C
19,0,3,2,3,6,1,4,2,97,1,6.9,58,79,77,2,5,3,3,2,B
20,0,0,2,2,2,1,4,4,82,4,9.52,99,55,48,2,3,4,1,2,B
20,1,3,1,3,9,1,5,2,72,5,5.1,76,60,66,3,2,5,5,2,A
18,0,3,4,1,5,1,2,4,68,2,7.37,87,40,88,4,3,5,2,1,C
16,0,3,2,3,5,1,1,3,80,1,9.66,42,99,54,1,4,3,3,5,B
21,1,3,1,2,3,1,2,3,67,1,6.97,82,50,76,1,3,3,1,1,A
21,0,1,2,1,5,0,3,5,76,3,7.14,96,50,67,1,2,1,3,3,B
15,1,0,4,2,9,0,4,5,75,1,7.89,67,41,89,3,5,1,1,1,B
17,0,2,3,3,3,0,4,1,75,4,7.31,61,71,94,5,4,5,2,3,C
19,0,3,1,1,7,1,2,2,87,4,5.84,86,93,43,1,2,2,4,4,C
17,0,3,1,2,8,1,2,3,75,4,5.09,58,58,60,2,4,4,5,3,B
15,1,2,1,1,1,1,2,4,73,5,8.05,92,95,95,1,1,3,4,1,C
20,1,2,1,1,6,0,3,1,97,5,9.6,95,44,73,1,2,1,1,1,A
21,1,3,1,2,8,1,3,4,79,1,5.53,85,42,58,1,1,4,3,3,B
19,0,2,1,1,8,0,1,3,93,5,6.05,55,67,98,5,3,5,5,1,C
17,0,2,4,2,4,1,2,3,88,5,6.85,95,65,76,1,2,3,2,3,B
20,1,1,3,1,0,1,1,3,62,3,9.04,45,62,97,5,1,3,5,2,B
15,1,2,4,1,5,1,5,3,69,5,6.35,76,69,43,5,5,1,3,5,C
17,0,0,4,1,7,0,3,4,79,2,9.41,70,47,76,3,3,2,4,3,A
21,0,0,3,3,0,1,4,1,61,2,5.27,92,75,90,2,2,3,1,2,A
16,0,0,4,3,1,0,5,3,86,2,9.7,88,68,71,1,2,2,4,2,B
20,0,3,2,2,0,1,4,5,91,1,7.8,87,52,84,1,5,4,5,2,C
15,1,0,4,1,4,1,5,1,69,4,8.29,73,98,87,1,5,3,3,2,C
17,0,1,1,2,1,1,1,5,99,3,6.84,70,64,51,5,1,3,1,3,B
21,0,0,2,3,9,1,1,4,76,1,8.91,99,61,80,4,1,2,3,1,C
