age,gender,parent_education,family_income,degree_of_hearing_loss,age_of_onset,assistive_device,sign_language_proficiency,lip_reading_skill,attendance_rate,study_hours,previous_gpa,math_score,science_score,language_score,teacher_support,peer_support,learning_resources,motivation_level,stress_level,performance_class
18,1,0,4,1,7,1,4,5,71,5,8.36,62,85,85,5,4,4,1,1,B
21,1,3,3,3,2,1,5,5,90,1,8.1,43,91,92,1,2,2,1,4,B
18,1,2,3,2,5,0,3,1,73,5,8.71,62,58,63,5,2,4,3,5,C
21,0,1,1,2,8,0,1,5,93,4,5.85,87,52,55,2,2,4,4,1,B
18,0,3,1,2,5,1,4,1,77,4,5.97,94,81,96,5,4,5,3,3,B
19,0,0,4,3,8,0,3,4,93,5,9.45,87,60,52,5,5,2,3,4,B
21,1,0,2,1,6,1,2,3,70,3,8.75,40,76,64,1,4,2,2,5,B
17,1,2,3,3,8,1,2,1,71,1,9.54,93,66,93,4,1,1,2,2,B
20,1,0,3,3,1,0,3,2,74,1,8.79,64,94,93,5,1,2,4,4,C
15,0,1,4,1,7,1,1,1,90,4,7.99,41,91,96,5,2,1,5,5,B
18,1,2,1,1,7,1,2,5,88,5,8.27,69,68,91,4,3,3,2,1,B
16,1,0,2,1,1,1,5,4,85,1,9.45,42,59,93,1,2,3,5,2,B
18,1,2,1,2,3,1,3,4,77,1,7.89,97,64,43,4,3,3,1,5,A
16,1,0,1,1,6,0,3,1,91,3,8.16,60,45,50,1,4,2,2,5,A
20,0,0,1,3,3,0,2,3,81,2,5.78,64,75,71,2,1,2,2,3,C
20,0,0,1,1,3,1,1,2,97,4,7.37,59,41,88,1,3,1,4,4,C
20,1,1,3,3,5,0,5,4,76,4,8.58,88,61,46,2,4,4,5,3,B
16,0,1,3,2,9,1,1,5,82,2,6.35,91,71,85,2,1,1,2,2,B
18,0,2,1,3,5,1,4,5,83,1,6.01,61,55,97,1,3,3,2,5,A
20,1,0,2,3,9,1,4,3,67,3,6.57,60,57,50,3,2,1,4,3,B
19,1,0,4,1,2,1,2,4,65,3,6.21,72,44,67,1,2,4,4,4,B
21,0,1,2,1,8,1,2,1,64,4,6.07,91,93,93,5,2,2,5,2,B
16,1,0,2,3,9,0,2,5,88,3,7.12,77,75,80,5,4,1,1,1,B
16,0,1,2,1,1,1,4,3,87,2,9.54,54,69,62,3,2,3,1,3,A
18,1,0,1,2,5,0,1,4,70,1,7.54,97,84,84,2,5,3,3,2,A
16,0,2,3,2,6,0,1,4,60,2,5.94,97,58,62,3,1,2,2,1,C
16,1,0,2,1,8,1,2,4,78,5,5.38,85,62,89,5,4,1,5,3,B
20,0,0,1,2,2,1,5,4,68,4,8.48,91,73,67,3,2,4,2,2,B
18,0,3,2,1,9,1,1,4,86,3,6.91,54,52,82,1,1,2,5,2,A
20,0,1,2,3,2,1,4,5,93,5,9.11,85,82,86,3,3,1,5,3,A
21,1,0,1,3,6,1,3,3,63,3,8.3,64,93,96,2,2,5,5,2,C
21,0,0,3,2,3,0,3,4,95,1,8.98,60,68,65,1,1,3,2,5,B
20,0,3,3,1,7,1,3,2,77,1,6.36,63,75,64,4,5,4,4,3,B
21,1,3,4,1,6,1,5,2,74,1,8.46,96,61,93,5,3,4,2,2,A
18,1,1,1,2,4,0,2,3,72,3,6.32,97,91,68,5,5,4,5,1,C
15,0,3,4,3,6,0,4,1,78,5,9.7,44,91,58,3,1,3,3,1,A
20,0,2,4,2,2,1,5,1,65,1,8.18,45,86,72,1,5,1,1,5,A
19,1,3,4,3,1,0,4,1,71,5,6.62,88,75,75,4,1,2,5,3,B
19,1,2,3,1,5,1,4,2,96,3,6.35,82,48,53,1,1,1,3,2,A
16,1,1,1,3,1,0,2,1,76,5,5.95,87,78,53,5,5,2,4,2,A
21,1,1,4,2,2,0,3,5,82,3,8.47,83,90,74,1,1,4,5,1,B
19,1,1,1,1,5,1,2,4,85,3,6.09,86,58,69,4,2,1,3,5,B
16,0,1,1,2,4,0,5,2,88,4,7.98,62,77,67,3,1,4,5,1,C
15,1,1,3,2,7,0,5,3,92,3,6.32,43,45,56,2,4,5,2,1,B
18,0,2,4,3,8,0,5,3,86,3,8.31,66,91,42,1,1,4,3,5,A
18,0,2,4,2,2,0,2,4,84,2,9.07,57,86,55,2,4,4,2,3,A
18,0,1,1,3,9,0,4,2,69,1,8.89,60,54,85,5,1,2,2,2,C
19,1,3,2,1,2,0,4,1,82,4,8.8,67,96,69,3,1,5,3,3,B
15,0,0,3,3,2,1,1,1,80,4,5.94,74,59,91,3,5,4,1,4,C
19,0,1,3,1,5,1,5,5,80,4,5.44,61,48,68,1,2,4,3,4,A
21,1,3,3,3,0,0,4,5,72,2,8.49,79,71,84,3,2,5,1,4,B
19,0,0,3,2,6,1,1,1,96,3,6.84,62,43,54,1,3,5,5,5,A
15,0,1,4,3,0,1,4,3,92,1,7.16,42,89,85,1,5,1,5,1,B
15,1,1,4,3,4,1,5,3,83,5,5.16,79,57,95,2,5,2,3,3,C
21,0,2,2,1,9,0,3,5,70,3,6.3,89,44,64,3,2,5,5,2,C
15,0,0,3,2,7,1,5,4,76,2,5.17,49,59,90,1,5,5,4,4,B
15,0,0,3,3,3,0,2,1,63,3,9.4,64,62,77,2,2,3,2,3,B
18,1,3,1,2,4,1,4,5,84,3,6.22,91,50,81,4,5,5,2,4,C
21,1,2,4,3,3,0,4,5,89,2,7.79,88,76,98,2,1,2,1,4,B
17,1,2,3,3,3,0,2,1,68,4,5.19,47,61,86,2,2,4,5,2,A
17,0,2,2,2,7,1,2,1,80,4,8.33,94,97,92,1,2,4,1,5,B
15,0,2,2,3,1,1,3,3,79,1,6.62,50,43,93,5,4,4,2,1,A
17,1,0,4,2,0,0,4,4,78,1,9.49,44,68,91,5,5,4,2,5,B
17,0,0,2,3,2,1,4,4,78,4,9.44,97,83,97,5,5,3,5,3,B
15,0,1,2,1,8,1,3,1,71,5,6.63,84,73,77,2,2,5,4,5,B
17,1,1,4,2,3,1,1,2,96,3,9.5,92,52,62,1,1,4,4,3,B
19,1,2,3,3,9,0,3,5,76,5,9.98,94,81,64,3,1,1,5,3,A
16,0,2,3,3,4,0,5,5,96,3,9.13,76,48,81,2,1,4,5,1,B
21,0,2,2,1,1,1,4,1,98,4,9.22,95,81,46,2,5,5,1,2,C
16,0,1,2,2,3,1,2,2,87,1,6.25,98,70,61,1,4,4,5,1,B
15,1,3,3,3,1,1,5,3,94,1,7.88,84,46,56,4,2,3,4,5,B
18,1,3,4,1,1,0,4,1,77,5,5.34,77,43,57,2,3,2,5,3,C
21,1,1,2,3,3,0,3,1,73,1,5.47,68,58,88,4,4,2,1,4,C
15,1,1,1,2,5,1,5,5,94,4,9.99,44,81,80,4,3,5,1,4,A
18,0,1,4,3,6,1,4,1,66,5,6.63,48,69,49,5,4,2,1,3,A
16,1,1,2,3,9,1,1,1,72,3,8.74,98,70,49,1,1,2,1,1,C
15,1,1,2,3,2,1,1,1,77,1,9.03,87,74,96,4,5,1,3,2,C
21,1,1,1,3,2,1,2,5,96,2,9.29,41,96,46,1,3,5,5,1,C
21,1,2,1,1,9,1,4,3,72,1,9.99,40,60,87,5,4,5,2,3,C
20,1,2,3,1,5,0,1,3,95,3,6.21,79,70,89,1,5,2,5,3,B
19,0,2,4,2,2,1,3,1,90,5,5.2,99,58,77,2,3,2,3,2,B
17,0,2,4,1,1,0,4,5,61,3,7.06,90,70,66,4,2,2,1,5,A
18,1,1,3,1,7,1,3,3,75,2,5.65,69,92,91,1,4,3,3,5,A
20,0,3,4,2,4,1,3,3,68,4,5.11,50,71,72,3,2,4,4,2,B
17,1,0,4,1,0,0,1,3,68,1,6.8,67,41,40,1,1,3,4,5,B
17,1,1,4,1,2,0,4,5,97,5,8.92,83,98,83,4,2,5,5,4,B
15,0,0,4,2,9,0,5,5,70,4,7.83,51,91,92,5,2,1,5,5,C
17,0,3,4,2,7,0,1,1,81,3,6.56,78,49,99,5,4,4,2,5,A
19,1,2,1,2,3,1,1,4,92,5,8.27,65,41,73,4,1,1,2,5,B
21,1,3,4,3,6,0,4,3,95,4,6.16,52,41,43,2,2,5,4,4,A
20,1,1,1,3,9,1,4,4,82,5,5.07,98,99,56,2,5,5,1,5,B
17,0,2,4,2,1,0,3,5,93,2,8.82,47,63,43,5,3,1,3,4,C
15,1,1,3,2,6,1,4,5,68,2,8.12,93,56,82,5,2,1,2,2,B
19,1,2,2,2,4,1,3,5,83,1,8.81,67,71,93,4,1,1,2,1,C
16,1,0,1,3,4,1,1,4,67,1,5.19,97,55,65,2,2,5,1,2,A
21,0,0,4,3,5,1,2,5,66,2,9.19,69,55,43,5,3,2,1,1,B
21,1,0,3,1,8,1,5,1,95,5,8.1,48,85,40,2,1,1,5,2,B
20,1,3,2,1,5,1,1,5,77,2,7.82,78,78,46,5,4,4,3,1,B
21,0,1,1,2,7,0,4,2,62,1,8.12,70,92,69,1,1,5,1,1,C
17,1,3,2,3,6,1,5,4,87,2,9.32,97,70,89,3,4,3,2,3,B
15,1,0,3,3,8,0,2,2,65,2,7.93,60,82,48,1,1,3,2,1,C
21,0,1,1,3,3,0,2,5,80,5,7.9,95,63,74,5,3,4,4,1,A
21,1,0,2,2,1,1,3,1,87,4,9.95,86,40,47,3,3,2,1,3,C
16,0,3,4,1,6,0,5,3,99,1,8.78,73,50,63,3,1,1,5,5,A
16,0,3,1,2,5,1,3,5,60,5,7.21,94,94,58,5,2,5,3,5,C
18,1,3,2,1,0,0,1,1,95,2,8.54,70,60,75,5,3,1,5,3,B
19,1,0,3,1,8,1,5,4,80,2,6.95,91,43,89,2,4,5,2,4,B
17,1,1,3,2,8,0,1,2,94,4,6.14,64,46,91,5,4,3,5,1,B
21,1,1,1,1,1,1,3,2,72,1,7.98,51,65,98,4,5,1,2,1,C
21,0,0,2,1,2,1,5,2,69,1,9.64,40,86,82,5,4,4,2,3,A
15,1,1,1,3,4,1,3,4,69,3,9.65,94,89,66,4,5,2,2,3,B
18,0,0,1,1,4,1,5,1,72,1,6.71,61,51,71,5,1,4,2,4,C
19,1,1,2,2,0,0,3,4,96,4,7.64,79,70,53,2,1,2,2,5,B
18,1,2,2,2,7,1,2,2,97,3,6.06,76,56,96,4,1,1,4,2,A
20,1,2,4,1,7,0,3,5,83,3,9.98,86,72,57,1,2,1,5,5,B
19,0,3,2,3,3,0,2,3,61,2,9.91,40,50,67,4,2,2,4,1,B
21,1,2,3,3,6,0,3,4,81,2,8.25,40,67,99,2,5,3,4,3,C
21,1,2,1,1,9,1,5,4,76,1,9.02,96,71,68,4,4,5,1,4,C
19,1,2,1,1,2,0,5,1,95,3,8.58,81,40,55,5,4,4,1,5,B
21,1,0,3,2,5,0,5,1,73,2,7.97,93,86,74,5,1,4,1,4,C
17,0,2,2,1,9,0,4,4,69,4,5.27,81,67,86,2,3,4,3,5,B
19,1,2,3,3,9,1,1,2,94,2,7.27,60,92,98,3,2,1,1,1,A
18,0,3,3,1,8,1,5,3,84,2,8.37,54,81,98,5,2,4,5,2,A
19,0,2,4,2,0,0,2,1,62,3,8.39,56,46,70,1,1,5,4,4,B
21,0,2,3,2,4,1,5,2,97,3,6.87,61,41,43,2,2,5,5,4,A
17,0,1,1,2,3,1,4,5,76,5,9.71,77,81,76,4,1,2,1,2,C
17,0,3,3,2,7,0,2,1,71,4,5.84,74,63,56,4,5,1,3,4,C
20,0,3,1,2,0,0,4,2,83,3,7.5,84,43,78,1,4,5,3,4,A
18,1,3,1,1,8,1,2,2,88,1,8.45,55,83,87,5,3,3,4,5,B
16,0,3,1,1,5,0,3,3,84,4,8.49,47,58,85,2,4,1,5,5,C
16,0,3,2,1,3,1,1,3,95,4,8.24,86,65,65,1,4,1,2,2,C
19,0,3,4,1,8,1,1,5,85,3,6.38,56,50,87,5,5,5,5,1,C
20,1,0,1,2,4,1,4,2,97,4,5.78,56,79,78,2,2,3,1,4,B
15,1,2,1,3,4,1,1,2,60,3,8.18,93,89,80,4,3,2,2,1,C
19,0,3,2,1,4,1,4,3,79,2,8.0,65,82,43,2,2,5,3,2,B
20,1,2,1,3,0,1,4,1,87,5,5.9,52,50,69,3,4,3,4,2,B
18,0,2,3,1,0,0,4,1,75,2,8.53,56,84,69,2,1,1,4,5,A
18,0,0,3,1,7,0,1,4,76,3,7.28,77,42,61,3,4,3,3,4,A
18,1,3,4,3,7,1,4,3,99,3,8.34,56,51,50,2,2,1,1,3,B
18,0,1,1,2,5,1,1,4,87,2,9.19,87,42,41,3,4,5,3,2,A
18,1,0,2,1,3,1,4,3,71,1,5.85,53,81,83,4,1,5,1,4,A
20,1,1,3,1,1,0,5,5,86,1,5.1,84,66,51,5,5,4,2,1,C
20,0,2,2,1,1,1,4,2,89,1,8.9,45,88,69,3,2,4,3,5,A
17,0,2,2,3,8,0,2,5,93,3,8.05,74,93,75,3,4,4,1,1,B
16,1,0,3,2,4,1,4,3,96,4,8.5,85,41,57,4,2,5,2,2,B
21,0,0,2,3,3,1,3,2,65,3,9.19,53,88,65,3,5,2,3,2,C
18,0,1,3,3,9,0,4,1,66,4,9.01,86,55,92,1,4,5,4,1,B
15,0,3,2,2,0,0,2,1,91,2,9.8,47,41,46,4,4,3,3,2,A
21,1,1,3,3,6,1,2,4,91,5,7.68,54,99,40,1,2,5,5,4,B
20,1,0,1,2,2,1,1,3,84,4,7.44,93,93,97,4,2,5,3,2,C
15,0,1,4,1,5,1,5,3,92,1,7.01,66,69,65,3,1,1,5,5,C
15,1,0,3,2,4,0,4,1,66,3,5.77,52,59,62,1,5,1,2,4,B
15,1,1,3,1,4,0,1,5,71,2,7.86,88,77,65,3,1,1,3,3,B
17,1,0,4,3,4,0,5,2,75,1,6.39,70,67,84,4,4,5,2,2,C
20,1,0,3,3,0,0,4,5,75,2,9.61,92,64,45,3,2,2,2,2,A
15,1,0,3,1,0,0,3,5,95,5,7.92,95,71,45,1,4,3,1,5,B
18,0,3,2,3,2,0,4,1,72,3,7.96,74,49,83,1,4,3,2,5,B
19,0,1,4,2,9,1,2,1,66,3,6.77,99,99,47,3,3,2,2,1,A
15,0,1,1,1,3,1,2,1,95,5,5.26,45,81,63,2,3,2,3,1,B
17,1,1,3,3,4,0,3,4,68,3,5.16,44,79,61,4,4,3,3,1,A
21,1,0,4,1,1,1,1,5,91,4,7.12,61,72,58,4,2,4,4,5,B
20,0,1,2,2,7,1,5,3,70,2,5.42,97,52,76,3,4,1,1,1,C
17,1,1,1,2,1,0,4,2,67,1,8.03,88,95,57,2,3,1,2,1,A
15,0,0,4,3,8,1,2,4,92,5,9.4,62,80,70,1,2,3,1,3,C
20,0,2,1,2,1,0,1,3,82,4,9.41,64,93,76,5,4,2,5,1,A
19,0,0,1,1,8,0,3,5,84,1,8.3,73,81,69,5,5,4,2,2,B
15,1,1,1,2,6,1,2,1,67,1,6.06,65,86,96,3,5,3,1,5,A
17,1,0,3,1,7,0,3,5,81,5,9.31,86,76,81,2,4,1,4,4,C
16,0,2,3,1,1,0,4,2,63,4,9.43,44,93,72,2,2,5,4,3,C
18,0,0,2,2,6,0,5,4,99,1,5.98,65,55,49,4,4,2,2,5,B
21,0,1,2,3,5,0,2,4,62,1,8.69,59,84,76,1,4,5,5,5,C
17,0,2,4,2,3,0,2,2,88,4,6.43,45,61,51,2,3,3,4,2,B
20,1,3,2,1,6,0,4,3,88,3,9.01,45,96,93,5,5,1,4,1,C
15,1,1,1,1,3,0,1,3,93,1,9.99,98,59,69,1,3,4,5,2,C
18,0,2,1,2,1,0,5,4,93,2,5.15,89,89,66,1,3,5,1,1,C
15,0,2,3,3,9,1,2,4,87,4,9.49,57,82,78,3,4,4,4,1,B
20,1,3,1,3,6,1,5,1,72,1,8.11,43,66,48,2,3,1,3,5,A
15,1,0,4,1,7,1,2,3,74,5,9.87,56,80,93,3,5,5,4,1,B
16,0,0,1,1,1,0,5,2,82,2,7.33,96,55,60,2,3,4,1,3,A
18,0,1,1,3,4,0,3,3,85,1,9.24,53,73,51,4,5,4,1,3,B
18,0,3,4,2,0,1,2,1,63,2,5.31,53,71,94,3,3,5,2,3,B
20,1,0,2,1,6,1,5,4,85,2,6.68,52,65,68,3,5,1,3,5,B
21,1,3,2,1,7,1,1,4,99,3,5.34,46,64,72,5,3,4,1,2,A
16,1,0,4,3,5,0,3,1,68,2,9.88,83,41,82,3,3,3,5,4,A
17,0,2,3,2,4,1,3,2,64,3,9.08,94,51,92,2,2,5,3,1,B
15,0,0,1,3,5,1,1,4,91,4,9.26,54,79,54,5,5,2,3,4,C
19,1,3,4,2,1,0,5,5,79,3,9.69,58,48,41,3,5,2,5,2,B
15,1,2,1,2,0,1,4,4,70,5,5.43,82,51,91,3,5,1,4,2,B
15,0,2,3,2,6,0,1,5,74,1,6.93,86,65,78,4,1,3,5,5,C
17,1,2,1,1,6,0,5,1,91,4,5.36,83,48,92,3,3,4,5,3,B
15,1,3,4,3,9,0,1,1,87,4,6.05,74,49,83,1,5,2,4,3,A
16,0,1,1,3,9,1,1,4,81,5,6.15,56,71,93,5,1,1,4,2,B
16,1,1,2,2,1,1,2,3,76,3,7.35,74,96,57,1,2,3,4,5,A
18,0,1,3,1,1,0,5,5,85,1,6.34,58,73,42,5,5,3,4,5,C
20,0,3,3,1,0,1,4,2,66,3,5.5,59,87,46,4,5,1,4,1,A
21,0,2,3,3,9,1,2,4,85,2,5.84,75,59,82,3,1,1,5,3,B
19,0,1,4,1,7,1,1,2,84,3,5.74,74,78,57,3,3,4,2,2,A
15,0,3,3,1,7,1,1,4,69,4,9.87,71,99,83,3,2,1,2,4,A
15,0,1,2,2,0,0,1,3,78,1,8.8,97,41,77,5,5,4,1,3,C
17,0,0,4,1,7,1,5,3,70,3,9.84,87,40,76,3,3,4,2,1,A
20,1,1,2,2,8,0,5,3,72,1,7.2,83,90,97,1,2,5,2,5,A
16,0,1,1,3,3,0,2,3,67,1,6.39,79,99,72,3,4,3,5,2,B
19,0,2,1,1,0,1,4,1,99,2,8.99,63,75,83,4,4,3,4,3,A
18,1,3,1,3,0,0,2,1,63,2,6.63,56,63,98,1,2,3,4,4,A
16,1,2,1,3,2,1,3,5,90,4,6.5,46,93,70,3,1,5,5,1,C
20,1,2,2,1,4,1,1,2,87,5,6.16,82,66,97,3,2,4,2,1,C
21,0,2,4,1,4,0,1,4,70,1,5.65,89,41,50,2,2,4,5,3,C
18,1,2,4,3,8,0,1,4,60,5,6.28,40,70,43,5,1,1,1,4,C
21,0,2,3,1,9,0,2,1,97,4,6.78,74,96,98,1,1,5,4,1,B
17,0,1,2,2,1,0,2,4,83,1,8.37,71,53,57,2,3,1,3,2,A
17,0,2,1,2,1,1,1,1,90,1,5.31,75,41,43,4,3,5,1,1,C
15,0,2,2,1,5,1,2,5,85,5,6.05,52,68,88,5,1,1,1,4,C
21,1,3,3,3,8,1,5,2,64,3,9.05,45,54,73,1,4,2,5,5,C
20,1,0,3,1,0,0,5,5,79,2,5.73,97,51,68,3,4,3,2,5,B
19,0,1,2,1,8,0,2,3,70,3,6.71,53,76,63,1,2,3,4,3,A
18,0,1,2,3,8,0,1,3,92,5,9.32,76,67,61,3,5,4,3,4,C
16,0,1,2,3,8,1,2,3,97,2,5.77,87,59,41,5,2,2,1,1,C
20,1,2,4,2,4,0,2,5,86,3,5.41,54,78,83,3,2,3,3,1,C
20,0,2,1,3,8,1,2,4,93,2,7.42,86,63,45,4,5,4,2,5,A
17,0,2,2,2,3,0,3,2,74,1,6.51,43,60,81,3,1,2,2,5,A
21,1,3,2,3,1,1,5,3,91,3,7.82,79,49,64,4,4,3,3,2,A
15,1,0,2,1,5,1,4,3,80,2,9.02,98,85,94,5,2,1,4,5,C
15,0,2,3,2,3,0,4,3,64,2,5.69,55,53,96,5,5,5,2,2,A
18,1,0,3,2,5,0,3,2,65,2,7.9,67,76,60,1,3,2,3,1,A
17,1,3,4,2,2,1,2,3,97,3,7.53,55,57,94,4,2,4,1,2,C
20,0,1,1,1,5,1,3,2,81,4,5.72,43,63,98,4,4,2,3,2,A
19,1,2,4,1,1,0,3,3,77,3,8.12,84,53,55,2,1,4,3,3,C
17,0,0,1,1,1,0,1,5,73,5,6.37,65,73,70,2,2,2,5,5,B
18,1,0,3,1,8,1,5,5,69,3,7.44,67,97,53,2,2,4,2,2,C
18,0,2,3,1,6,0,4,2,72,2,5.41,71,51,78,3,5,3,4,1,B
17,0,1,3,2,2,1,2,5,90,1,7.3,84,61,67,2,3,1,4,4,C
18,0,1,4,1,0,1,4,2,89,3,6.53,41,95,71,4,3,3,5,2,C
17,1,1,2,2,7,0,4,5,62,3,9.11,70,45,67,3,1,1,4,5,A
16,0,3,2,1,5,0,5,5,89,2,5.28,42,75,90,5,4,3,3,3,A
17,1,0,3,3,6,0,4,2,65,1,7.09,93,84,94,1,1,3,5,1,A
21,0,0,2,2,8,0,4,4,88,1,7.29,47,75,88,2,2,2,1,3,B
17,0,0,2,3,4,0,3,5,67,5,8.63,63,61,48,5,2,5,2,4,C
18,1,3,4,2,0,1,5,3,92,3,7.87,54,53,97,4,3,4,2,2,B
21,0,0,1,3,9,1,1,4,76,1,8.34,82,55,84,1,4,4,2,2,B
18,0,3,3,1,6,0,2,2,70,1,8.89,70,75,61,5,5,4,3,5,A
15,1,1,3,1,4,0,4,4,72,4,9.31,48,95,71,1,4,1,1,2,C
15,0,2,4,1,2,0,2,1,70,4,6.57,78,64,44,2,2,4,5,1,C
21,0,0,4,2,8,1,1,1,90,1,7.69,84,71,62,4,5,4,5,4,A
16,0,0,2,3,0,0,2,5,87,5,9.2,41,72,44,1,4,2,2,3,B
